/Users/willy/Documents/TibaMe/web/venv/bin/python /Users/willy/Documents/TibaMe/Python/code/temp.py
AWS 2020_03_16_1.mp4 https://cdn.tibame.com/course/754/videos/94ed3127-efe5-4257-9d44-03d78e88724c_GMT20200316-090652_104CLASS-T_1920x1080.mp4
AWS 2020_03_17_1.mp4 https://cdn.tibame.com/course/754/videos/d750ad5f-1202-4251-81a4-943056272dcb_GMT20200317-010648_104CLASS-T_1920x1080.mp4
AWS 2020_03_17_2.mp4 https://cdn.tibame.com/course/754/videos/b8ebe537-ebbc-452e-8591-542447f69224_GMT20200317-053232_104CLASS-T_1920x1080.mp4
BI 2020_01_16_1.mp4 https://cdn.tibame.com/course/678/videos/187c3606-0c5a-4746-a629-4c28017bebe0_GMT20200116-011821_104CLASS-T_1366x768.mp4
BI 2020_01_16_2.mp4 https://cdn.tibame.com/course/678/videos/e57b00d0-59b6-47a7-89bc-ac47088e19b0_GMT20200116-055723_104CLASS-T_1366x768.mp4
BI 2020_01_20_1.mp4 https://cdn.tibame.com/course/678/videos/d9404e22-6e76-4df5-b2f0-c0a2623a02e7_GMT20200120-011521_104CLASS-T_1366x768.mp4
BI 2020_01_20_2.mp4 https://cdn.tibame.com/course/678/videos/610bff2f-b0b7-4a42-920c-2b6afa2ce39c_GMT20200120-055959_104CLASS-T_1366x768.mp4
BI 2020_01_31_1.mp4 https://cdn.tibame.com/course/678/videos/9baaf262-3a25-4095-9f92-22a5788e8a08_GMT20200131-011940_104CLASS-T_1366x768.mp4
BI 2020_01_31_2.mp4 https://cdn.tibame.com/course/678/videos/9a066817-6ae1-4a2b-ad74-0228da11dc6e_GMT20200131-054729_104CLASS-T_1366x768.mp4
BI 2020_02_05_1.mp4 https://cdn.tibame.com/course/678/videos/93ffeba9-5e8e-42c4-8ae2-1da3257c2114_GMT20200205-054950_104CLASS-T_1366x768.mp4
BI 2020_02_11_1.mp4 https://cdn.tibame.com/course/678/videos/87b1e373-c6de-4f49-859c-b5fc09f5aa88_GMT20200211-054923_104CLASS-T_1366x768.mp4
Block_Chain 2020_03_23_1.mp4 https://cdn.tibame.com/course/754/videos/bd8dcfef-1afc-4e3f-ab65-661eeb4e0b05_GMT20200323-013925_104CLASS-T_1920x1080.mp4
Block_Chain 2020_03_23_2.mp4 https://cdn.tibame.com/course/754/videos/dd69122f-1b42-4f42-bb1b-1b0be3341092_GMT20200323-043648_104CLASS-T_1920x1080.mp4
Block_Chain 2020_03_26_1.mp4 https://cdn.tibame.com/course/754/videos/06cc9c61-0f82-4b30-b13d-65f7c2e2cf5a_GMT20200326-023339_104CLASS-T_1920x1080.mp4
Block_Chain 2020_03_26_2.mp4 https://cdn.tibame.com/course/754/videos/8e05c53f-0349-4191-ab0d-edfe6b1a3900_GMT20200326-035633_104CLASS-T_1920x1080.mp4
DM 2020_01_08_1.mp4 https://cdn.tibame.com/course/617/videos/a7a8279c-f3ac-431a-94f0-823164a1f3fe_GMT20200108-054156_104CLASS-T_1920x1080.mp4
DM 2020_01_13_1.mp4 https://cdn.tibame.com/course/617/videos/ca35ba84-7135-4851-a36d-e48545ed617c_GMT20200113-053735_104CLASS-T_1920x1080.mp4
DM 2020_01_13_2.mp4 沒有
DM 2020_01_17_1.mp4 https://cdn.tibame.com/course/617/videos/f440e4af-8765-4ca7-899f-6d1c569a872a_GMT20200117-054306_104CLASS-T_1920x1080.mp4
DM 2020_01_17_2.mp4 沒有
DM 2020_03_14_1.mp4 https://cdn.tibame.com/course/617/videos/b9207037-e5bc-4224-b2dd-72c7e0ae4956_GMT20200314-020825_104CLASS-T_1366x728.mp4
DM 2020_03_14_2.mp4 沒有
Docker 2020_03_09_1.mp4 https://cdn.tibame.com/course/754/videos/9bf82512-ab30-4484-b0b7-5eaab0d27d23_GMT20200309-010713_104CLASS-T_1920x1080.mp4
Docker 2020_03_09_2.mp4 https://cdn.tibame.com/course/754/videos/b00fc834-7128-4b10-88f2-edb471e463a4_GMT20200309-053123_104CLASS-T_1920x1080.mp4
Docker 2020_03_16_1.mp4 https://cdn.tibame.com/course/754/videos/f91b56e4-aec6-4e38-9c80-bb741314693f_GMT20200316-020317_104CLASS-T_1920x1080.mp4
Docker 2020_03_16_2.mp4 https://cdn.tibame.com/course/754/videos/3582c0a5-902d-46ca-a674-18c9a917c033_GMT20200316-053139_104CLASS-T_1920x1080.mp4
IOT 2020_03_06_1.mp4 https://cdn.tibame.com/course/771/videos/abb61ccd-3040-4c34-b8db-53b8f9900cbb_GMT20200306-053450_104CLASS-T_1920x1080.mp4
IOT 2020_03_08_1.mp4 https://cdn.tibame.com/course/771/videos/72d011e2-8f97-4c30-9385-72edcf783f6b_GMT20200308-011249_104CLASS-T_1920x1080.mp4
IOT 2020_03_08_2.mp4 https://cdn.tibame.com/course/771/videos/884500f6-cad6-4ee6-9489-c969ffdb5763_GMT20200308-054122_104CLASS-T_1920x1080.mp4
IOT2-KAFKA 2020_03_04_1.mp4 https://cdn.tibame.com/course/752/videos/be35d1c8-cfed-4424-9d8e-45eea744481e_GMT20200304-053705_104CLASS-T_1920x1080.mp4
